question_idx,question,num_passages,full_context_score,no_context_score,r_squared,intercept,n_perturbations,passage_0_influence,passage_1_influence,passage_2_influence,passage_3_influence,passage_4_influence,passage_ranking,top1_passage_idx,top3_passage_indices
4,Can elevated troponin I levels predict complicated clinical course and inhospital mortality in patients with acute pulmonary embolism?,5,0.2627737226277373,0.056338028169014086,0.7137305679156285,0.2421005835679364,32,-0.005649878084071412,0.10063421653121164,0.02810137737778923,-0.0029102862689336442,-0.004755173542970796,"[1, 2, 3, 4, 0]",1,"[1, 2, 3]"
5,Does β-catenin have a role in pathogenesis of sebaceous cell carcinoma of the eyelid?,5,0.5290322580645161,0.0263157894736842,0.7492723162926049,0.2661034458335798,32,0.1637436100737755,0.0309007220457139,0.011464494511404,0.0408921589164921,0.0022525177392017,"[0, 3, 1, 2, 4]",0,"[0, 3, 1]"
9,Pancreas retransplantation:  a second chance for diabetic patients?,5,0.3333333333333333,0.125,0.5843591742945518,0.3667726602871695,32,0.0199582918683741,0.1559790494681913,-0.1882085730533219,0.0760475883649007,-0.057012595423839,"[1, 3, 0, 4, 2]",1,"[1, 3, 0]"
10,Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,5,0.3478260869565218,0.0851063829787234,0.41254690410600303,0.35273782458777203,32,0.022401305356633892,-0.05696005638819346,0.11075367084960307,-0.054418254172539385,0.0084742332676899,"[2, 0, 4, 3, 1]",2,"[2, 0, 4]"
19,Is endometrial polyp formation associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1?,5,0.189873417721519,0.07142857142857142,0.6787877237060498,0.2947504841503944,32,-0.018290241641058278,0.07038141329949346,0.11097552174433582,-0.19601943787945533,0.05063088185468178,"[2, 1, 4, 0, 3]",2,"[2, 1, 4]"
21,Are performance measurement systems useful?,5,0.26229508196721313,0.12195121951219513,0.3670128543191471,0.1585403013377603,32,0.020956048849519168,0.031001454210528745,0.0082531932196301,0.01853623603455293,0.01153239229822276,"[1, 0, 3, 4, 2]",1,"[1, 0, 3]"
27,Is robotically assisted laparoscopic radical prostatectomy less invasive than retropubic radical prostatectomy?,5,0.10526315789473685,0.07407407407407407,0.6901313817964966,0.06940797730970596,32,0.04203796278751059,-0.0010159985812261477,-0.0016278149559654195,0.0014693333781375276,-0.006783843038379208,"[0, 3, 1, 2, 4]",0,"[0, 3, 1]"
31,Does early migraine treatment shorten time to headache peak and reduce its severity?,5,0.4301075268817204,0.0634920634920634,0.6426627566503922,0.2624995025175524,32,-0.0709852094548717,-0.0030099674147184,0.1191307283476513,0.081264355932233,0.0204799096247713,"[2, 3, 4, 1, 0]",2,"[2, 3, 4]"
33,Do familiar teammates request and accept more backup?,5,0.1851851851851851,0.0975609756097561,0.5816360054846587,0.1590523126909639,32,0.0032652095861323,0.0194670451610259,0.0015606509965253,-0.0015527212334556,0.0032656348137458,"[1, 4, 0, 2, 3]",1,"[1, 4, 0]"
51,Is there a role for fondaparinux in perioperative bridging?,5,0.3488372093023256,0.1142857142857143,0.8417727251995952,0.2582944742436072,32,-0.0355389473687003,0.1269323077108291,0.0270821327194772,0.013351118170715,-0.0404145253253997,"[1, 2, 3, 0, 4]",1,"[1, 2, 3]"
55,Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,5,0.2258064516129032,0.074074074074074,0.0782298957826488,0.2605273652129214,32,0.0065492805246654,-0.0062584893901958,-0.0090017598571104,-0.0061276411696449,-0.0044475170357783,"[0, 4, 3, 1, 2]",0,"[0, 4, 3]"
58,Metered-dose inhalers. Do health care providers know what to teach?,5,0.5210084033613445,0.0259740259740259,0.6534913501787315,0.2676322386174937,32,0.0873561542756157,0.0711044302213449,0.0568382909559267,0.0318229406519989,0.0081338895909893,"[0, 1, 2, 3, 4]",0,"[0, 1, 2]"
69,Does anastomotic leakage affect functional outcome after rectal resection for cancer?,5,0.17391304347826086,0.08695652173913043,0.7179418802978907,0.1645722459244324,32,0.004972368193371471,0.04713127168972385,-0.012787124752831882,-0.014188686072851413,-0.02446675111220865,"[1, 0, 2, 3, 4]",1,"[1, 0, 2]"
73,Canada's Compassionate Care Benefit: is it an adequate public health response to addressing the issue of caregiver burden in end-of-life care?,5,0.1938325991189427,0.1012658227848101,0.4541264548689465,0.2401892044713303,32,-0.0096920258766357,-0.0059422336184507,0.0022913566177711,-0.0210917390311597,0.0782779559514479,"[4, 2, 1, 0, 3]",4,"[4, 2, 1]"
74,Does a family meetings intervention prevent depression and anxiety in family caregivers of dementia patients?,5,0.1216216216216216,0.088235294117647,0.2516888937496048,0.1767822870451768,32,0.0175244134404857,0.0013991725236705,-0.0372076030579998,0.0123299722869831,-0.0203343458679176,"[0, 3, 1, 4, 2]",0,"[0, 3, 1]"
80,Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?,5,0.2352941176470588,0.04,0.5424667668737434,0.23700244630118825,32,0.046303580562060555,0.05420142141411134,-0.09341733251561263,0.029958406253564256,0.015763007127959226,"[1, 0, 3, 4, 2]",1,"[1, 0, 3]"
82,Does higher body mass index contribute to worse asthma control in an urban population?,5,0.225,0.0967741935483871,0.5687178848272776,0.24673620106477578,32,0.03949082569645795,-0.15437026640102738,0.05881086392418929,0.06565514040753143,0.055945322359063014,"[3, 2, 4, 0, 1]",3,"[3, 2, 4]"
97,Does feeding tube insertion and its timing improve survival?,5,0.22448979591836737,0.0,0.6641813657863316,0.3591772421898448,32,-0.23749835620535534,0.009486442828462872,0.11421253826970207,0.09389289567603866,0.01429151365127521,"[2, 3, 4, 1, 0]",2,"[2, 3, 4]"
98,Do family physicians know the costs of medical care?,5,0.2857142857142857,0.0869565217391304,0.8384887469145123,0.2839676901309939,32,0.0187550865476875,0.1493645887200556,-0.0904141410719891,0.012703364341976,-0.0365349517139655,"[1, 0, 3, 4, 2]",1,"[1, 0, 3]"
118,Health care for immigrants in Europe: is there still consensus among country experts about principles of good practice?,5,0.4901960784313725,0.09375,0.8480903145027066,0.28238712981023417,32,0.2286715715861068,-0.06478996827677147,-0.03067336327684249,0.05338419562318915,0.004820115120903062,"[0, 3, 4, 2, 1]",0,"[0, 3, 4]"
120,Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,5,0.3243243243243243,0.0763358778625954,0.6320632510912962,0.1723505220802571,32,-0.0079891145896541,0.0561194532365682,0.0735458963012077,0.0059218190905806,0.0731592490311656,"[2, 4, 1, 3, 0]",2,"[2, 4, 1]"
138,"Are lifetime prevalence of impetigo, molluscum and herpes infection really increased in children having atopic dermatitis?",5,0.19607843137254904,0.2545454545454545,0.6706926335902634,0.2553423496976092,32,-0.012155425067795206,0.08748960704120774,-0.01685836838865945,-0.011590180699119159,-0.039414130825049784,"[1, 3, 0, 2, 4]",1,"[1, 3, 0]"
141,Does limb-salvage surgery offer patients better quality of life and functional capacity than amputation?,5,0.4038461538461538,0.0701754385964912,0.8546148572420404,0.2394678502410446,32,0.113857654170042,-0.0017658494623974,0.0124060242203016,0.0076131788841661,0.011714168463217,"[0, 2, 4, 3, 1]",0,"[0, 2, 4]"
