question_index,BleuScore
0,0.02244379665130128
1,0.9554427922043663
2,0.6315552371794033
3,0.32746740283562886
4,0.11986062961075747
5,0.3605469537386011
6,0.02224972978585352
7,0.06880370707988932
8,0.6786502681586727
9,0.872029046714648
10,0.1486599636902727
11,0.011216940038341035
12,0.045762708103494684
13,0.03741943603457605
14,0.11977165750310853
15,0.04814971807094068
16,0.03333168744598931
17,0.0860040277194919
18,0.19982865159938445
19,0.1071370184351315
20,0.012413584734794654
21,0.005390747376722829
22,0.05751391809950023
23,0.14604645377016695
24,0.23321503395334303
25,0.07764220917386239
26,0.02530411293155504
27,0.020244462660665506
28,0.24425147264327496
29,0.3965083191236898
30,0.03808666253315647
31,0.16093384774646158
32,0.13606170474745752
33,0.03916449665002247
34,0.13963522201807077
35,0.09263986277915474
36,0.27694132751313416
37,0.010781494753445663
38,0.025795879170461364
39,0.08908685805449107
40,0.045463087134045746
41,0.0336131839383324
42,0.0900746750211399
43,0.057914282612498764
44,0.05934202609760488
45,0.23005099844493768
46,0.035527769567510456
47,0.4451553292322984
48,0.23249999518652362
49,0.1987622471711255
50,0.041389967849713896
51,0.7774570245775203
52,0.03156106667546408
53,0.1870597100454968
54,0.12733020221187213
55,0.07035716820860911
56,0.5494220041534532
57,0.634192268377597
58,0.10657284485555579
59,0.13217947626377288
60,0.18990420965596827
61,0.10123734869668828
62,0.05439330544349823
63,0.06397441508531333
64,0.09992869870690119
65,0.1021619866588636
66,0.017582886872465738
67,0.02044546032702015
68,0.027723823578564625
69,0.05684653076227406
70,0.21020291919458509
71,0.17694975149532557
72,0.029000744656730446
73,0.12293111697661589
74,0.07638390111873514
75,0.017224492538765235
76,0.058001489313460886
77,0.048651567846962604
78,0.019971849734212933
79,0.011572933002801307
80,0.14216645907653844
81,0.06585833693600902
82,0.3118181497809656
83,0.06429415067236427
84,0.10167225043025356
85,0.72268544748151
86,0.4384861051674016
87,0.06612589698705092
88,0.04300662553696791
89,0.0442419466492974
90,0.351938726676634
91,0.0
92,0.4037191545627396
93,0.05914171736486468
94,0.24676284197701734
95,0.6771701060912296
96,0.07768562846380175
97,0.04456882760699064
98,0.3850322886878713
99,0.2349670560530578
100,0.016984210955039127
101,0.10759353804031296
102,0.8518217258010187
103,0.6729864884660302
104,0.08913765521398126
105,0.05832725852634305
106,0.07495553473355841
107,0.0918704330366254
108,0.7221600387198371
109,0.054771946822209226
110,0.1504843536148922
111,0.06801663050032696
112,0.12832055613623328
113,0.5701965791862897
114,0.11227564716917941
115,0.021720545517096207
116,0.34987611491109566
117,0.04459310153552375
118,0.31491012167016746
119,0.504510799955379
120,0.0
121,0.05984439299116927
122,0.2767157888930831
123,0.06256118460580957
124,0.22177657695506445
125,0.5491004867761125
126,0.05618923497225256
127,0.17923344640485428
128,0.034710075776929146
129,0.1090009697802911
130,0.2661039908366137
131,0.0447950289853401
132,0.08104064855774029
133,1.0000000000000004
134,0.07994607499472017
135,0.30198038101424834
136,0.49875394411498336
137,0.024426633221059636
138,0.3295103291209691
139,0.029799893137327636
140,0.10549630947587664
141,0.42229793131698096
142,0.10709985276359209
143,0.571879491294668
144,0.24405051724608795
145,0.24717602094829177
146,0.4732800769623462
147,0.5932180640699448
148,0.0942962747162884
149,0.43078332272527725
150,0.10189882572207871
151,0.05664669237492921
152,0.20247260588667015
153,0.035148478313698044
154,0.030787460505623355
155,0.1741759647647354
156,0.08944279451836995
157,0.4622377023605666
158,0.22366895391935884
159,0.05955330614357973
160,0.15655991050950388
161,0.19596735649615574
162,0.585466105651765
163,0.04009358691746892
164,0.10471800982955518
165,0.033721790147933
166,0.4699380927032573
167,0.022564696048011854
168,0.02245787784328702
169,0.338796999974464
170,0.16767849550785172
171,0.053336238565783935
172,0.2425232850823367
173,0.09440849538053443
174,0.07949790515880671
175,0.05919382824640357
176,0.3062610160012344
177,0.1693568545257723
178,0.2910624919304027
179,0.10626521330729334
180,0.05618923497225256
181,0.5151630664996673
182,0.24577774110849793
183,0.33929739285670885
184,0.0412550645501398
185,0.5954165059120785
186,0.018196871111910016
187,0.06244385951234724
188,0.21771100196895493
189,0.28591435875403987
190,0.07063538017596545
191,0.29256127307315066
192,0.1330619718049851
193,0.24622356654327557
194,0.3278576793119436
195,0.2826845419324588
196,0.3164389365959548
197,0.3909847962458142
198,0.2524767073744483
199,0.3836841681691305
